FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
1,Self-Service,Tampa,FL,33605,27.956644,-82.439072
2,Self-Service,Tampa,FL,33606,27.941708000000002,-82.465888
3,Self-Service,Tampa,FL,33603,27.994389,-82.459439
4,Authorized Ship Center,Tampa,FL,33604,28.024894,-82.484288
5,Self-Service,Tampa,FL,33607,27.976984,-82.484789
6,Self-Service,Tampa,FL,33607,27.975579999999997,-82.48474499999999
7,Self-Service,Tampa,FL,33614,27.996153999999997,-82.494969
8,Self-Service,Tampa,FL,33610,27.996115000000003,-82.427965
9,Self-Service,Tampa,FL,33602,27.951953999999997,-82.45875
10,Self-Service,Tampa,FL,33605,27.960974,-82.43543100000001
11,Self-Service,Tampa,FL,33607,27.954377,-82.484992
12,Self-Service,Tampa,FL,33607,27.952225,-82.48501800000001
13,Self-Service,Tampa,FL,33604,28.031197,-82.459351
14,Self-Service,Tampa,FL,33612,28.033472999999997,-82.473827
15,Self-Service,Tampa,FL,33612,28.040677000000002,-82.459528
16,Self-Service,Tampa,FL,33607,27.963122,-82.524054
17,Self-Service,Tampa,FL,33609,27.952128000000002,-82.514081
18,Self-Service,Tampa,FL,33607,27.952138,-82.515979
19,Self-Service,Tampa,FL,33607,27.952144,-82.51660799999999
20,Self-Service,Tampa,FL,33607,27.957327000000003,-82.524034
21,Self-Service,Tampa,FL,33607,27.956099,-82.52405300000001
22,Self-Service,Tampa,FL,33607,27.955403999999998,-82.524224
23,Self-Service,Tampa,FL,33607,27.952205,-82.522189
24,Self-Service,Tampa,FL,33607,27.954245,-82.524231
25,Self-Service,Tampa,FL,33607,27.955973999999998,-82.526466
26,Self-Service,Tampa,FL,33607,27.955984,-82.528461
27,Self-Service,Tampa,FL,33609,27.951199,-82.52407099999999
28,Self-Service,Tampa,FL,33607,27.9524,-82.526639
29,Self-Service,Tampa,FL,33609,27.950635,-82.524274
30,Self-Service,Tampa,FL,33609,27.948627000000002,-82.52430600000001
31,Self-Service,Tampa,FL,33607,27.960051,-82.531101
32,Staffed,Tampa,FL,33609,27.944661,-82.505723
33,Self-Service,Tampa,FL,33609,27.944740000000003,-82.512045
34,Self-Service,Tampa,FL,33609,27.944921,-82.508864
35,Self-Service,Tampa,FL,33609,27.945368,-82.505662
36,Self-Service,Tampa,FL,33609,27.944724,-82.525272
37,Self-Service,Tampa,FL,33609,27.94473,-82.526028
38,Self-Service,Tampa,FL,33629,27.932975,-82.507826
39,Self-Service,Tampa,FL,33629,27.933166999999997,-82.506624
40,Self-Service,Tampa,FL,33609,27.945304999999998,-82.52986899999999
41,Self-Service,Tampa,FL,33609,27.941041,-82.498545
42,Self-Service,Tampa,FL,33609,27.945446,-82.53009499999999
43,Self-Service,Tampa,FL,33609,27.950425,-82.530576
44,Self-Service,Tampa,FL,33629,27.927395,-82.514129
45,Self-Service,Tampa,FL,33619,27.979691,-82.379195
46,Self-Service,Tampa,FL,33610,27.996075,-82.39074000000001
47,Self-Service,Tampa,FL,33610,27.993323999999998,-82.393618
48,Self-Service,Oldsmar,FL,34677,28.041878999999998,-82.668175
49,Self-Service,Tampa,FL,33610,27.987190999999996,-82.402247
50,Self-Service,Temple Terrace,FL,33617,28.014878999999997,-82.39358100000001
51,Self-Service,Oldsmar,FL,34677,28.043371,-82.677656
52,Self-Service,Tampa,FL,33605,27.956396999999996,-82.415623
53,Self-Service,Palm Harbor,FL,34685,28.065762,-82.705713
54,Self-Service,Tampa,FL,33618,28.035759999999996,-82.489738
55,Self-Service,Tampa,FL,33634,27.976661,-82.548302
56,Self-Service,Tampa,FL,33618,28.035464,-82.488699
57,Staffed,St Petersburg,FL,33710,27.796671999999997,-82.733497
58,Self-Service,Tampa,FL,33629,27.928593,-82.493426
